OBJECTID,Neighborhood,LAPD_Cost,LAPD_Days in Jail,LAPD_Arrests,LASD_Cost,LASD_Days in Jail,LASD_Arrests,2010 Population,Combo_Cost,Combo_Cost_PerPop,Combo_Days,Combo_Days_PerPop,Combo_Arrests,Combo_Arrests_PerPop,spa,sup_dist,Shape__Area,Shape__Length
95,Inglewood,2061895,8971,4156,7995390,52445,3260,110579,10057285,90.9511299613851,61416,0.555403828936778,7416,0.0670651751236672,SPA 8 - South Bay,District 2,254325749.942383,94409.5224301435
96,Irwindale,6436,28,12,142105,871,83,1422,148541,104.459212376934,899,0.632208157524613,95,0.0668073136427567,SPA 3 - San Gabriel,District 1,267138009.193359,134064.78255967
97,Koreatown,3941526,17149,8103,1478330,9450,704,104833,5419856,51.6999036562914,26599,0.253727356843742,8807,0.0840098060725153,SPA 4 - Metro,District 2,75285132.2666016,37596.8522674422
98,La Crescenta-Montrose,58150,253,139,590808,3758,289,21442,648958,30.2657401361813,4011,0.187062773994963,428,0.0199608245499487,SPA 2 - San Fernando,District 5,95523760.5400391,55550.7113804582
99,Ladera Heights,115839,504,230,335185,2210,132,8294,451024,54.3795514829998,2714,0.327224499638293,362,0.0436460091632505,SPA 5 - West,District 2,81955164.0371094,61985.3805961326
100,La Habra Heights,8044,35,14,301625,1976,124,5591,309669,55.3870506170631,2011,0.359685208370596,138,0.0246825254873904,SPA 7 - East,District 4,173606170.041992,65050.5333759124
101,Lake Balboa,923267,4017,1962,473053,3149,174,26160,1396320,53.3761467889908,7166,0.273929663608563,2136,0.081651376146789,SPA 2 - San Fernando,District 3,87143798.4140625,42156.1831277563
102,Lake Hughes,919,4,2,23503,119,24,0,24422,,123,,26,,SPA 2 - San Fernando,District 5,261611699.911133,121497.461678254
103,Lake Los Angeles,47117,205,89,5757290,39817,1506,1947,5804407,2981.20544427324,40022,20.5557267591166,1595,0.819209039548023,SPA 1 - Antelope Valley,District 5,193983386.067383,93690.3222844452
104,Lake View Terrace,472781,2057,965,447734,3048,137,13054,920515,70.5159338133905,5105,0.391067871916654,1102,0.0844185690209897,SPA 2 - San Fernando,District 5,117954784.740234,87174.3022685833
105,Lakewood,141352,615,292,8120360,52806,3499,80585,8261712,102.521709995657,53421,0.662914934541168,3791,0.0470434944468574,SPA 7 - East,District 4,265192859.175781,124633.935092894
106,La Mirada,42061,183,96,4613520,29445,2216,48527,4655581,95.9379520679209,29628,0.610546705957508,2312,0.0476435798627568,SPA 7 - East,District 4,218601451.655273,80557.2619097235
107,Lancaster,840295,3656,1551,80471600,559316,19910,151745,81311895,535.845629180533,562972,3.70998714949422,21461,0.141428053642624,SPA 1 - Antelope Valley,District 5,2854738435.70117,492400.968051435
108,La Puente,54472,237,120,12822800,86279,4339,40174,12877272,320.537462040125,86516,2.15353213521183,4459,0.110992183999602,SPA 3 - San Gabriel,District 1,97207776.9277344,87072.9734573458
109,Larchmont,181114,788,396,117609,825,26,7822,298723,38.1901048325237,1613,0.206213244694452,422,0.0539503963180772,SPA 4 - Metro,District 3,13558159.9990234,15520.3272631501
110,La Verne,25972,113,66,789454,5161,329,33069,815426,24.6583204814176,5274,0.159484713780278,395,0.011944721642626,SPA 3 - San Gabriel,District 5,239000081.535156,107091.742001845
111,Lawndale,157440,685,341,3914680,24827,1945,32769,4072120,124.267447892826,25512,0.778540693948549,2286,0.0697610546553145,SPA 8 - South Bay,District 2,54877648.8789063,37149.0120411938
112,Lennox,179965,783,388,4100030,26476,1843,22532,4279995,189.951846263092,27259,1.20979052014912,2231,0.0990147345996805,SPA 8 - South Bay,District 2,29679775.3886719,32731.2506164348
113,Leona Valley,3907,17,7,302472,2119,68,3553,306379,86.2310723332395,2136,0.601182099634112,75,0.0211089220377146,SPA 1 - Antelope Valley,District 5,427330023.948242,167363.722668945
114,Lincoln Heights,1004171,4369,1904,934203,6252,330,26605,1938374,72.8575079872204,10621,0.39921067468521,2234,0.0839691787258034,SPA 4 - Metro,District 1,69990211.4960938,50780.0411186942
115,Littlerock,6895,30,14,582000,4072,133,0,588895,,4102,,147,,SPA 1 - Antelope Valley,District 5,50539989.6835938,38210.0158472337
